artist,artist_id,followers,genres,popularity
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,5018985,"[u'dance pop', u'edm', u'electropop', u'metropopolis', u'pop', u'post-teen pop', u'tropical house']",76
Joakim Lundell,0XNvr6bnNywV946ZKaJtr0,89461,"[u'deep pop edm', u'swedish idol pop', u'swedish pop']",59
Christina Perri,7H55rcKCfwqkyDFH9wpKM6,1406837,"[u'dance pop', u'neo mellow', u'pop', u'post-teen pop', u'viral pop']",70
The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,891604,"[u'alternative rock', u'neo mellow', u'permanent wave', u'pop rock', u'post-grunge']",68
Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,1227602,"[u'irish rock', u'neo mellow', u'permanent wave', u'pop rock', u'rock']",70
Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2057321,"[u'chamber pop', u'folk-pop', u'indie folk', u'indie pop', u'melancholia', u'slow core', u'stomp and holler']",71
DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,2384167,"[u'dance pop', u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'trap music', u'urban contemporary']",76
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,9274802,"[u'alternative metal', u'nu metal', u'post-grunge', u'rap metal']",82
NAV,7rkW85dBwwrJtlHRDkJDAC,811331,"[u'canadian hip hop', u'pop', u'rap', u'trap music']",80
Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,816004,"[u'latin', u'pop', u'reggaeton', u'tropical']",74
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,6584299,[u'pop'],79
Bag Raiders,6fXEqmGQEt6ONuqVmwrN46,133021,"[u'alternative dance', u'australian dance', u'indietronica']",59
Zedd,2qxJFvFYMEDqd7ui6kSAcq,3077629,"[u'complextro', u'dance pop', u'edm', u'german techno', u'pop', u'post-teen pop']",80
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,5539397,"[u'dance pop', u'pinoy hip hop', u'pop', u'pop rap', u'post-teen pop', u'r&b']",82
Stormzy,2SrSdSvpminqmStGELCSNd,628900,[u'grime'],69
MC Kevinho,1mXAhKnZEdF6rotyyd4GBi,5039119,[u'deep funk carioca'],76
Cali Y El Dandee,5DUlefCLzVRzNWaNURTFpK,1377371,"[u'champeta', u'colombian pop', u'electro latino', u'latin', u'latin pop', u'pop', u'reggaeton', u'tropical']",70
Ayo & Teo,27mFvqQj8KpjmdKIqcw1mG,450107,[u'dwn trap'],64
MAX,1bqxdqvUtPWZri43cKHac8,248582,"[u'pop', u'post-teen pop', u'viral pop']",71
Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,1404305,"[u'latin', u'latin arena pop', u'latin pop', u'mariachi', u'mexican pop', u'ranchera', u'tropical']",74
Russ,1z7b1Pr1rSlvWRzsW3HOrS,1478554,"[u'hip hop', u'pop', u'rap']",78
Lorde,163tK9Wjr9P9DmM0AVK7lm,3431881,"[u'art pop', u'dance pop', u'electropop', u'metropopolis', u'pop']",76
Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,114324,"[u'big room', u'deep tropical house', u'edm', u'electro house', u'indie poptimism', u'pop', u'tropical house', u'tropical pop edm']",69
